|Mortal Fea!|	|Greg Iles|
|Facing Up|	|Bear Grylls|
|Inconceivable|	|Ben Elton|
|Humour|	|Ben Johnson|
|Stars of New Curfew|	|Ben Okri|
|Daughter of the East|	|Benazir Bhutto|
|Pakistan–The Gathering Storm|	|Benazir Bhutto|
|Grace Notes|	|Bernard Mac Lavarto|
|Conquest of Happiness|	|Bertrand Russell|
|Free Man's Worship|	|Bertrand Russell|
|Human Knowledge|	|Bertrand Russell|
|Marriage and Morals|	|Bertrand Russell|
|A Dream in Hawaii|	|Bhabani Bhattacharya|
|Shadow from Ladakh|	|Bhabani Bhattacharya|
|Return of the Aryans|	|Bhagwan S. Gidwani|
|Natya Shastra|	|Bharat Muni|
|Swapnavasvadatta|	|Bhasa|
|Malti Madhav|	|Bhavabhuti|
|Notes from a Big. Country|	|Bill Bryson|
|Notes from a Small Island|	|Bill Bryson|
|Between Hope and History|	|Bill Clinton|
|My Life|	|Bill Clinton|
|Bearders–My Life in Cricket|	|Bill Frindall|
|Business at the Speed of Thought|	|Bill Gates|
|India's Politics–A View From the Backbench|	|Bimal Jalan|
|Don't Laugh–We are Police|	|Bishan Lal Vohra|
|Global Crises-Global Solutions|	|Bjorn Lombarg|
|Men from Stone Age to Clone Age|	|Bob Beale|
|The Agenda–Inside the Clinton White House|	|Bob Woodward|
|Struggles of Indian Federalism|	|Bonica Aleaz|
|Blind Beauty|	|Boris Pasternak|
|Dr. Zhivago|	|Boris Pasternak|
|Against the Grain|	|Boris Yeltsin|
|Midnight Diaries|	|Boris Yeltsin|
|Mangal Pandey|	|Brave Martyr or Accidental Hero? : Rudrangashu Mukherjee|
|Sacked or Sunk ? Admiral Vishnu Bhagwat|	|Brigadier R. P. Singh & Comdre Ranjit B. Rao|
|Follywood Flashback|	|Bwmy Reuben|
|Death Under Sail|	|C. P. Snow|
|Hamsters|	|C. P. Snow|
|Home Comings|	|C. P. Snow|
|Last Things|	|C. P. Snow|
|Strangers and Brothers Omnibus|	|C. P. Snow|
|The Affairs|	|C. P. Snow|
|Lal Bahadur Shastri|	|C. P. Srivastava|
|Iron Harvest|	|C. P. Surendran|
|Crossing the Rubicon|	|C. Raja Mohan|
|Impossible Allies|	|C. Raja Mohan|
|End of an Era|	|C. S. Pandit|
|Sex, Art and American Culture|	|Camille Paglia|
|A Ridge Too Far|	|Captain Amarinder Singh|
|Fights Into Fear|	|Captain Devi Sharan|
